"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2016","21,123.0","21,807.0","21,857.0","21,114.0","131.61K","-3.59%"
"05/01/2016","21,140.0","21,138.0","21,409.0","21,020.0","141.48K","0.08%"
"06/01/2016","20,861.0","21,137.0","21,250.0","20,855.0","132.44K","-1.32%"
"07/01/2016","20,349.0","20,852.0","20,878.0","20,258.0","174.11K","-2.45%"
"08/01/2016","20,399.0","20,328.0","20,620.0","20,050.0","145.29K","0.25%"
"11/01/2016","19,943.0","20,435.0","20,498.0","19,820.0","141.31K","-2.24%"
"12/01/2016","19,699.0","19,970.0","20,120.0","19,656.0","128.54K","-1.22%"
"13/01/2016","20,059.0","19,718.0","20,229.0","19,684.0","147.17K","1.83%"
"14/01/2016","19,810.0","20,059.0","20,080.0","19,468.0","145.77K","-1.24%"
"15/01/2016","19,468.0","19,798.0","19,827.0","19,454.0","136.56K","-1.73%"
"18/01/2016","19,271.0","19,430.0","19,442.0","19,048.0","151.09K","-1.01%"
"19/01/2016","19,621.0","19,272.0","19,647.0","19,145.0","155.99K","1.82%"
"20/01/2016","18,847.0","19,609.0","19,725.0","18,762.0","182.93K","-3.94%"
"21/01/2016","18,751.0","18,836.0","19,260.0","18,530.0","185.15K","-0.51%"
"22/01/2016","19,091.0","18,692.0","19,155.0","18,591.0","182.99K","1.81%"
"25/01/2016","19,238.0","19,106.0","19,505.0","19,106.0","150.95K","0.77%"
"26/01/2016","18,901.0","19,229.0","19,288.0","18,785.0","173.53K","-1.75%"
"27/01/2016","19,010.0","18,896.0","19,279.0","18,872.0","168.76K","0.58%"
"28/01/2016","19,095.0","19,028.0","19,230.0","18,997.0","23.60K","0.45%"
"29/01/2016","19,723.0","19,264.0","19,738.0","19,031.0","163.47K","3.29%"
"01/02/2016","19,469.0","19,700.0","19,748.0","19,406.0","124.23K","-1.29%"
"02/02/2016","19,442.0","19,478.0","19,609.0","19,320.0","122.31K","-0.14%"
"03/02/2016","18,978.0","19,430.0","19,430.0","18,733.0","129.06K","-2.39%"
"04/02/2016","19,156.0","19,000.0","19,357.0","18,713.0","111.55K","0.94%"
"05/02/2016","19,313.0","19,161.0","19,409.0","19,050.0","94.00K","0.82%"
"11/02/2016","18,375.0","19,309.0","19,350.0","18,270.0","80.99K","-4.86%"
"12/02/2016","18,371.0","18,364.0","18,484.0","18,037.0","91.28K","-0.02%"
"15/02/2016","18,834.0","18,365.0","18,932.0","18,334.0","110.26K","2.52%"
"16/02/2016","19,141.0","18,874.0","19,272.0","18,848.0","114.05K","1.63%"
"17/02/2016","18,916.0","19,149.0","19,307.0","18,895.0","126.90K","-1.18%"
"18/02/2016","19,293.0","18,916.0","19,451.0","18,916.0","112.77K","1.99%"
"19/02/2016","19,332.0","19,292.0","19,412.0","19,190.0","98.36K","0.20%"
"22/02/2016","19,476.0","19,326.0","19,546.0","19,145.0","126.02K","0.74%"
"23/02/2016","19,416.0","19,447.0","19,578.0","19,312.0","140.33K","-0.31%"
"24/02/2016","19,153.0","19,429.0","19,493.0","19,074.0","153.42K","-1.35%"
"25/02/2016","18,912.0","19,144.0","19,209.0","18,829.0","137.83K","-1.26%"
"26/02/2016","19,225.0","18,898.0","19,276.0","18,884.0","17.42K","1.66%"
"29/02/2016","19,058.0","19,349.0","19,496.0","18,960.0","110.91K","-0.87%"
"01/03/2016","19,325.0","19,052.0","19,325.0","18,993.0","125.92K","1.40%"
"02/03/2016","19,890.0","19,327.0","19,995.0","19,287.0","132.58K","2.92%"
"03/03/2016","19,861.0","19,900.0","20,063.0","19,758.0","119.21K","-0.15%"
"04/03/2016","20,100.0","19,860.0","20,184.0","19,826.0","119.70K","1.20%"
"07/03/2016","20,142.0","20,105.0","20,298.0","20,063.0","109.89K","0.21%"
"08/03/2016","19,950.0","20,116.0","20,199.0","19,880.0","115.34K","-0.95%"
"09/03/2016","19,990.0","19,945.0","20,070.0","19,813.0","100.80K","0.20%"
"10/03/2016","20,008.0","19,984.0","20,196.0","19,898.0","112.85K","0.09%"
"11/03/2016","20,237.0","20,009.0","20,247.0","19,837.0","135.46K","1.14%"
"14/03/2016","20,417.0","20,221.0","20,498.0","20,183.0","107.56K","0.89%"
"15/03/2016","20,298.0","20,399.0","20,448.0","20,260.0","94.43K","-0.58%"
"16/03/2016","20,304.0","20,288.0","20,432.0","20,170.0","110.37K","0.03%"
"17/03/2016","20,474.0","20,309.0","20,637.0","20,205.0","120.21K","0.84%"
"18/03/2016","20,595.0","20,473.0","20,697.0","20,303.0","122.12K","0.59%"
"21/03/2016","20,675.0","20,596.0","20,848.0","20,596.0","99.85K","0.39%"
"22/03/2016","20,607.0","20,687.0","20,823.0","20,581.0","103.19K","-0.33%"
"23/03/2016","20,645.0","20,607.0","20,688.0","20,517.0","117.60K","0.18%"
"24/03/2016","20,319.0","20,644.0","20,672.0","20,263.0","163.38K","-1.58%"
"29/03/2016","20,349.0","20,321.0","20,426.0","20,153.0","120.13K","0.15%"
"30/03/2016","20,683.0","20,363.0","20,718.0","20,253.0","17.30K","1.64%"
"31/03/2016","20,807.0","20,857.0","21,020.0","20,703.0","116.34K","0.60%"
"01/04/2016","20,467.0","20,784.0","20,874.0","20,453.0","119.62K","-1.63%"
"05/04/2016","20,130.0","20,488.0","20,537.0","20,092.0","124.17K","-1.65%"
"06/04/2016","20,147.0","20,122.0","20,233.0","20,046.0","98.55K","0.08%"
"07/04/2016","20,249.0","20,168.0","20,368.0","20,080.0","105.50K","0.51%"
"08/04/2016","20,389.0","20,241.0","20,393.0","19,967.0","120.76K","0.69%"
"11/04/2016","20,540.0","20,374.0","20,581.0","20,174.0","145.77K","0.74%"
"12/04/2016","20,470.0","20,527.0","20,620.0","20,397.0","113.79K","-0.34%"
"13/04/2016","21,216.0","20,474.0","21,223.0","20,443.0","148.23K","3.64%"
"14/04/2016","21,343.0","21,221.0","21,546.0","21,212.0","122.01K","0.60%"
"15/04/2016","21,342.0","21,359.0","21,474.0","21,258.0","95.53K","0.00%"
