Date,Price_leg_1,PnL_leg_1,Price_leg_2,PnL_leg_2,Total_PnL,Daily_PnL,decision_date,entry_date,exit_date,scenario,strategy_type,portfolio_total_pnl,Price_leg_3,PnL_leg_3,Price_leg_4,PnL_leg_4,portfolio_daily_pnl
2024-02-01,572.0,-0.0,645.0,0.0,0.0,0.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,0.0,,,,,0.0
2024-02-02,545.0,1350.0,592.0,-2650.0,-1300.0,-1300.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-1300.0,,,,,-1300.0
2024-02-05,559.0,650.0,608.0,-1850.0,-1200.0,100.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-1200.0,,,,,100.0
2024-02-06,937.0,-18250.0,1002.0,17850.0,-400.0,800.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-400.0,,,,,800.0
2024-02-07,856.0,-14200.0,932.0,14350.0,150.0,550.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,150.0,,,,,550.0
2024-02-08,723.0,-7550.0,772.0,6350.0,-1200.0,-1350.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-1200.0,,,,,-1350.0
2024-02-09,612.0,-2000.0,673.0,1400.0,-600.0,600.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-600.0,,,,,600.0
2024-02-12,595.0,-1150.0,651.0,300.0,-850.0,-250.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-850.0,,,,,-250.0
2024-02-13,589.0,-850.0,645.0,0.0,-850.0,0.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-850.0,,,,,0.0
2024-02-14,719.0,-7350.0,779.0,6700.0,-650.0,200.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-650.0,,,,,200.0
2024-02-15,747.0,-8750.0,806.0,8050.0,-700.0,-50.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-700.0,,,,,-50.0
2024-02-16,996.0,-21200.0,1080.0,21750.0,550.0,1250.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,550.0,,,,,1250.0
2024-02-19,846.0,-13700.0,914.0,13450.0,-250.0,-800.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-250.0,,,,,-800.0
2024-02-20,876.0,-15200.0,960.0,15750.0,550.0,800.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,550.0,,,,,800.0
2024-02-21,1067.0,-24750.0,1144.0,24950.0,200.0,-350.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,200.0,,,,,-350.0
2024-02-22,1307.0,-36750.0,1389.0,37200.0,450.0,250.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,450.0,,,,,250.0
2024-02-23,1244.0,-33600.0,1324.0,33950.0,350.0,-100.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,350.0,,,,,-100.0
2024-02-26,1160.0,-29400.0,1231.0,29300.0,-100.0,-450.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,-100.0,,,,,-450.0
2024-02-27,1306.0,-36700.0,1399.0,37700.0,1000.0,1100.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,1000.0,,,,,1100.0
2024-02-28,1025.0,-22650.0,1112.0,23350.0,700.0,-300.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,700.0,,,,,-300.0
2024-02-29,967.0,-19750.0,1064.0,20950.0,1200.0,500.0,2024-01-31,2024-02-01,2024-02-29,bear_highvol,call_credit_spread,1200.0,,,,,500.0
2024-03-01,549.0,-0.0,600.0,0.0,0.0,0.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,1200.0,885.0,-0.0,963.0,0.0,0.0
2024-03-04,542.0,350.0,593.0,-350.0,-450.0,-450.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,750.0,881.0,200.0,950.0,-650.0,-450.0
2024-03-05,777.0,-11400.0,837.0,11850.0,-850.0,-400.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,350.0,620.0,13250.0,672.0,-14550.0,-400.0
2024-03-06,579.0,-1500.0,633.0,1650.0,-500.0,350.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,700.0,788.0,4850.0,853.0,-5500.0,350.0
2024-03-07,672.0,-6150.0,731.0,6550.0,-550.0,-50.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,650.0,660.0,11250.0,719.0,-12200.0,-50.0
2024-03-08,595.0,-2300.0,636.0,1800.0,-1400.0,-850.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,-200.0,712.0,8650.0,772.0,-9550.0,-850.0
2024-03-11,449.0,5000.0,496.0,-5200.0,-50.0,1350.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,1150.0,864.0,1050.0,945.0,-900.0,1350.0
2024-03-12,277.0,13600.0,308.0,-14600.0,-950.0,-900.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,250.0,1266.0,-19050.0,1345.0,19100.0,-900.0
2024-03-13,267.0,14100.0,297.0,-15150.0,-950.0,0.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,250.0,1259.0,-18700.0,1339.0,18800.0,0.0
2024-03-14,298.0,12550.0,331.0,-13450.0,-900.0,50.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,300.0,1128.0,-12150.0,1206.0,12150.0,50.0
2024-03-15,375.0,8700.0,419.0,-9050.0,-650.0,250.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,550.0,928.0,-2150.0,1000.0,1850.0,250.0
2024-03-18,344.0,10250.0,388.0,-10600.0,-600.0,50.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,600.0,939.0,-2700.0,1012.0,2450.0,50.0
2024-03-19,417.0,6600.0,465.0,-6750.0,-250.0,350.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,950.0,764.0,6050.0,840.0,-6150.0,350.0
2024-03-20,397.0,7600.0,445.0,-7750.0,0.0,250.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,1200.0,758.0,6350.0,839.0,-6200.0,250.0
2024-03-21,271.0,13900.0,307.0,-14650.0,-800.0,-800.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,400.0,965.0,-4000.0,1042.0,3950.0,-800.0
2024-03-22,416.0,6650.0,461.0,-6950.0,-850.0,-50.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,350.0,713.0,8600.0,780.0,-9150.0,-50.0
2024-03-25,408.0,7050.0,461.0,-6950.0,-350.0,500.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,850.0,672.0,10650.0,741.0,-11100.0,500.0
2024-03-26,320.0,11450.0,369.0,-11550.0,-350.0,0.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,850.0,774.0,5550.0,847.0,-5800.0,0.0
2024-03-27,446.0,5150.0,506.0,-4700.0,-250.0,100.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,950.0,571.0,15700.0,635.0,-16400.0,100.0
2024-03-28,349.0,10000.0,399.0,-10050.0,150.0,400.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,1350.0,654.0,11550.0,736.0,-11350.0,400.0
2024-03-29,344.0,10250.0,392.0,-10400.0,-500.0,-650.0,2024-02-29,2024-03-01,2024-03-29,range_medianvol,iron_condor,700.0,660.0,11250.0,731.0,-11600.0,-650.0
2024-04-01,904.0,22400.0,836.0,-22500.0,-100.0,-100.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,600.0,,,,,-100.0
2024-04-02,680.0,0.0,611.0,-0.0,0.0,100.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,700.0,,,,,100.0
2024-04-03,810.0,13000.0,746.0,-13500.0,-500.0,-500.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,200.0,,,,,-500.0
2024-04-04,802.0,12200.0,739.0,-12800.0,-600.0,-100.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,100.0,,,,,-100.0
2024-04-05,813.0,13300.0,748.0,-13700.0,-400.0,200.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,300.0,,,,,200.0
2024-04-08,773.0,9300.0,718.0,-10700.0,-1400.0,-1000.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,-700.0,,,,,-1000.0
2024-04-09,718.0,3800.0,660.0,-4900.0,-1100.0,300.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,-400.0,,,,,300.0
2024-04-10,534.0,-14600.0,484.0,12700.0,-1900.0,-800.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,-1200.0,,,,,-800.0
2024-04-11,574.0,-10600.0,522.0,8900.0,-1700.0,200.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,-1000.0,,,,,200.0
2024-04-12,766.0,8600.0,704.0,-9300.0,-700.0,1000.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,0.0,,,,,1000.0
2024-04-15,862.0,18200.0,781.0,-17000.0,1200.0,1900.0,2024-03-29,2024-04-01,2024-04-30,bear_lowvol,put_debit_spread,1900.0,,,,,1900.0
