Date,Total_PnL,Daily_PnL,decision_date,entry_date,exit_date,scenario,strategy_type,portfolio_total_pnl,portfolio_daily_pnl,Price_leg_1,PnL_leg_1,Price_leg_2,PnL_leg_2,Price_leg_3,PnL_leg_3,Price_leg_4,PnL_leg_4,qty
2024/2/1,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/2,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/5,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/6,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/7,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/8,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/9,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/12,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/13,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/14,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/15,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/16,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/19,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/20,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/21,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/22,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/23,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/26,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/27,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/28,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/2/29,0,0,2024/1/31,2024/2/1,2024/2/29,,,0,0,,,,,,,,,
2024/3/1,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/4,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/5,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/6,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/7,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/8,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/11,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/12,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/13,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/14,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/15,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/18,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/19,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/20,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/21,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/22,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/25,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/26,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/27,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/28,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/3/29,0,0,2024/2/29,2024/3/1,2024/3/29,,no_trade,0,0,,,,,,,,,
2024/4/1,-5100,-5100,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-5100,-5100,161,-15900,94,10800,,,,,3
2024/4/2,0,5100,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,0,5100,267,0,166,0,,,,,3
2024/4/3,-2850,-2850,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-2850,-2850,199,-10200,117,7350,,,,,3
2024/4/4,-3150,-300,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-3150,-300,191,-11400,111,8250,,,,,3
2024/4/5,-3450,-300,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-3450,-300,190,-11550,112,8100,,,,,3
2024/4/8,-3150,300,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-3150,300,193,-11100,113,7950,,,,,3
2024/4/9,-2400,750,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-2400,750,201,-9900,116,7500,,,,,3
2024/4/10,3150,5550,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,3150,5550,299,4800,177,-1650,,,,,3
2024/4/11,1050,-2100,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,1050,-2100,271,600,163,450,,,,,3
2024/4/12,-3150,-4200,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-3150,-4200,177,-13500,97,10350,,,,,3
2024/4/15,-6300,-3150,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-6300,-3150,134,-19950,75,13650,,,,,3
2024/4/16,-8850,-2550,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-8850,-2550,90,-26550,48,17700,,,,,3
2024/4/17,-9450,-600,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-9450,-600,75,-28800,37,19350,,,,,3
2024/4/18,-9300,150,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-9300,150,80,-28050,41,18750,,,,,3
2024/4/19,-10500,-1200,2024/3/29,2024/4/1,2024/4/30,,call_debit_spread,-10500,-1200,59,-31200,28,20700,,,,,3
