decision_date,entry_date,exit_date,direction_probs,volatility_probs,scenario,strategy_type,signals,cum_pnl,return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,win_rate_daily,news_selected_count,news_week_start,news_week_end,news_selected_urls_preview,rebalance_reason
2024-01-14,2024-01-15,2024-01-19,"{'bull': 0.3, 'bear': 0.4, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.5, 'high_vol': 0.3}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",2700.0,0.0027,0.1455634614209418,0.011493954932920174,12.664349414145448,0.0,0.8,28,2024-01-08,2024-01-14,"['https://m.cnyes.com/news/print/5430804', 'https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/980080/%E8%8A%B1%E6%97%97%E6%8E%A8%E4%BB%8A%E5%AD%A36%E5%A4%A7-%E5%BF%85%E6%8F%B8-%E5%BF%85%E6%B2%BD-%E6%B8%AF%E8%82%A1-%E4%BB%B2%E6%9C%8910%E9%9A%BB%E9%AB%98%E6%81%AF%E8%82%A1%E4%B8%8D%E5%AE%B9%E9%8C%AF%E9%81%8E', 'https://inews.hket.com/article/3686684/%E3%80%90%E6%9C%80%E5%84%AA%E6%83%A0%E5%88%A9%E7%8E%87%E3%80%91%E6%B8%A3%E6%89%93%E6%9B%BE%E7%B9%BC%E5%BF%97%EF%BC%9A%E9%A0%90%E6%9C%9F%E6%B8%AF%E9%8A%80P%E6%81%AF%E4%BB%8A%E5%B9%B4%E6%9C%89%E6%A9%9F%E6%9C%83%E8%B7%9F%E5%84%B2%E5%B1%80%E6%B8%9B%E6%81%AF%E3%80%80%E5%85%A8%E5%B9%B4%E6%88%96%E6%B8%9B0.75%E5%8E%98', 'https://www.tkww.hk/a/202401/11/AP659f76ebe4b05c88581b7de3.html', 'https://www.hkej.com/dailynews/investment/article/3659267/%25E7%25BE%258E%25E5%259C%258B%25E6%25B8%259B%25E6%2581%25AF%25E5%25B9%2585%25E5%25BA%25A6%25E9%25A0%2590%25E6%259C%259F%25E5%25A4%25AA%25E9%2580%25B2%25E5%258F%2596']",no_position
2024-01-21,2024-01-22,2024-01-26,"{'bull': 0.2, 'bear': 0.5, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.3, 'high_vol': 0.5}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",300.0,0.0003,0.015232583402874367,0.02071760121249562,0.7352484125279418,-0.0037365484256676185,0.4,35,2024-01-15,2024-01-21,"['https://hk.finance.yahoo.com/news/%E7%BE%8E%E5%9C%98%E8%82%A1%E5%83%B9%E8%B7%8C%E7%A0%B42018%E5%B9%B4%E7%99%BC%E8%A1%8C%E5%83%B9-%E9%AB%98%E7%9B%9B%E8%AA%8D%E7%82%BA%E5%B8%82%E5%A0%B4%E9%81%8E%E5%BA%A6%E6%82%B2%E8%A7%80-073911963.html', 'https://ec.ltn.com.tw/article/breakingnews/4557833', 'https://www.epochtimes.com/b5/24/1/20/n14162297.htm', 'https://finance.mingpao.com/fin/daily/20240119/1705601101527/%E4%B8%8A%E6%9C%88%E4%BA%BA%E6%B0%91%E5%B9%A3%E5%9C%8B%E9%9A%9B%E6%94%AF%E4%BB%98%E6%AF%94%E4%BE%8B%E8%B7%8C%E5%87%BA%E4%B8%89%E7%94%B2', 'https://ps.hket.com/article/3691902/%E5%85%B1%E5%B1%85%E5%93%81%E7%89%8C%E5%A4%A5%E5%A4%96%E8%B3%87%E5%9F%BA%E9%87%91%E5%85%A5%E5%B8%82%E4%B8%8A%E7%92%B0%E5%85%A8%E5%B9%A2%E9%85%92%E5%BA%97%20%E9%80%A0%E5%83%B93.2%E5%84%84%E5%85%83']",scenario_reversal_blocked_p_bear=0.500
2024-01-28,2024-01-29,2024-02-02,"{'bull': 0.4, 'bear': 0.3, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.3, 'high_vol': 0.5}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",2550.0,0.00255,0.13695815947347634,0.029645404365601088,4.619878271331496,-0.00029923694578826154,0.6,34,2024-01-22,2024-01-28,"['https://abmedia.io/china-lower-interest-rates-to-provide-liquidity', 'https://www.hkej.com/dailynews/finnews/article/3670429/%25E4%25BA%25BA%25E8%25A1%258C%25E6%2592%2590%25E6%25B5%25A6%25E6%259D%25B1%25E6%2596%25B0%25E5%258D%2580%25E6%25BB%2599%25E7%25AE%25A1%25E8%25A9%25A6%25E9%25BB%259E%25E6%2594%25B9%25E9%259D%25A9', 'https://www.jdonline.com.hk/content_57205.html', 'https://www.cw.com.tw/article/5129140', 'https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/984927/%E9%99%B3%E8%8C%82%E6%B3%A2-%E5%A4%96%E8%B3%87%E5%B0%8D%E4%B8%AD%E6%B8%AF%E9%95%B7%E6%9C%9F%E7%99%BC%E5%B1%95%E6%84%9F%E6%A8%82%E8%A7%80-%E6%AD%A3%E7%AD%89%E5%BE%85%E5%90%88%E9%81%A9%E6%8A%95%E8%B3%87%E6%99%82%E6%A9%9F']",scenario_reversal_blocked_p_bull=0.400
2024-02-04,2024-02-05,2024-02-09,"{'bull': 0.2, 'bear': 0.6, 'range': 0.2}","{'low_vol': 0.1, 'medium_vol': 0.4, 'high_vol': 0.5}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",2400.0,0.0024,0.1284162261478652,0.03419289399860737,3.7556407525228894,-0.0037404618223529917,0.6,35,2024-01-29,2024-02-04,"['https://ec.ltn.com.tw/article/breakingnews/4571139', 'https://www.soundofhope.org/post/790159?lang=', 'https://paper.hket.com/article/3701182/%E7%94%A8%E5%A5%BD%E3%80%8C%E4%B8%89%E8%81%AF%E9%80%9A%E4%B8%89%E4%BE%BF%E5%88%A9%E3%80%8D%20%E9%9E%8F%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83%E5%9C%B0%E4%BD%8D', 'https://news.cnyes.com/news/id/5445204', 'https://www.ctee.com.tw/news/20240203700020-439901']",scenario_reversal_blocked_p_bear=0.600
2024-02-11,2024-02-12,2024-02-16,"{'bull': 0.4, 'bear': 0.35, 'range': 0.25}","{'low_vol': 0.2, 'medium_vol': 0.5, 'high_vol': 0.3}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",-1650.0,-0.00165,-0.07985929697406458,0.03562226831632146,-2.2418363778781187,-0.004784927478442946,0.4,35,2024-02-05,2024-02-11,"['https://www.techbang.com/posts/112729-gpt-4-beats-wall-streetlatest-study-stock-selection-returns', 'https://www.voacantonese.com/a/imf-flags-bri-partner-maldives-high-debt-20240209/7481629.html', 'https://thebambooworks.com/zh/kk%E9%9B%86%E5%9C%98%E5%8A%A0%E7%9B%9F%E8%AE%8A%E7%9B%B4%E7%87%9F-%E7%AC%AC%E5%9B%9B%E5%BA%A6%E9%97%96%E9%97%9C%E6%B8%AF%E4%BA%A4%E6%89%80', 'https://hk.finance.yahoo.com/news/%E6%B1%BD%E8%BB%8A%E6%9D%BF%E5%A1%8A-%E6%9C%AA%E4%BE%86%E8%83%BD%E6%BA%90-%E6%8A%95%E8%B3%87%E5%BE%97%E9%81%8E-%E9%8E%96%E5%AE%9A%E7%84%A6%E9%BB%9E%E8%82%A1etf-083323339.html', 'https://www.tkww.hk/epaper/view/newsDetail/1755307716471033856.html']",scenario_reversal_blocked_p_bull=0.400
2024-02-18,2024-02-19,2024-02-23,"{'bull': 0.25, 'bear': 0.35, 'range': 0.4}","{'low_vol': 0.2, 'medium_vol': 0.4, 'high_vol': 0.4}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",-6750.0,-0.00675,-0.2891923129299274,0.029134155213426046,-9.926229568402155,-0.0068989651552266995,0.2,32,2024-02-12,2024-02-18,"['https://www.tkww.hk/epaper/view/newsDetail/1758558058050621440.html', 'https://www.hkej.com/dailynews/investment/article/3685267/%25E5%2584%25B2%25E5%25B1%2580%25E6%2594%25BE%25E9%25A2%25A8%25E6%25B8%259B%25E6%2581%25AF%25E6%2588%2596%25E6%2598%25AF%25E7%25BE%258E%25E8%2582%25A1%25E8%25A6%258B%25E9%25A0%2582%25E6%2599%2582', 'https://tw.tradingview.com/script/HnTCmgMC-Gamma-Exposure', 'https://finance.technews.tw/2024/02/16/stock-will-rally-until-2025', 'https://estate.ltn.com.tw/article/19682']",scenario_reversal_blocked_p_range=0.400
2024-02-25,2024-02-26,2024-03-01,"{'bull': 0.4, 'bear': 0.3, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.5, 'high_vol': 0.3}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",-9450.0,-0.00945,-0.3803154383322651,0.011858161746240435,-32.072040040509826,-0.002417040132937198,0.0,35,2024-02-19,2024-02-25,"['https://ec.ltn.com.tw/article/breakingnews/4588196', 'https://www.hk01.com/%E6%95%B8%E7%A2%BC%E7%94%9F%E6%B4%BB/992971/2024%E6%96%B0%E6%AC%BE%E6%97%97%E8%89%A6%E6%89%8B%E6%A9%9F%E9%80%994%E6%AC%BE%E5%80%BC%E5%BE%97%E9%97%9C%E6%B3%A8-%E5%B0%8F%E7%B1%B314-ultra%E6%9C%83%E6%98%AF%E6%9C%80%E5%87%BA%E7%9C%BE', 'https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/991216/%E5%89%8D-%E4%B8%AD%E6%A6%82%E5%A5%BD%E5%8F%8B-%E6%89%B9%E9%A6%99%E6%B8%AF%E7%8E%A9%E5%AE%8C-%E6%B4%AA%E7%81%9D%E5%AB%8C%E8%AC%9B%E6%B3%95%E6%9C%AA%E5%88%B0%E8%82%89-%E8%A9%95%E6%B8%AF%E5%BA%9C%E6%94%BF%E7%AD%96%E9%8C%AF%E9%87%8D%E9%BB%9E', 'https://www.hk01.com/%E5%B0%88%E9%A1%8C%E4%BA%BA%E8%A8%AA/993241/%E6%BB%99%E6%8E%A7%E7%B8%BE%E5%BE%8C%E7%A9%BF60%E5%85%83-%E8%82%A1%E6%81%AF%E7%8E%87%E9%80%BE8%E5%8E%98-%E6%BA%AB%E5%82%91-%E5%AE%9A%E5%AD%98%E5%BE%974%E5%8E%98%E9%95%B7%E6%9C%9F%E6%94%B6%E6%81%AF%E7%8F%BE%E5%83%B9%E5%8F%AF%E5%90%BC', 'https://news.cnyes.com/news/id/5462768']",scenario_reversal_blocked_p_bull=0.400
2024-03-03,2024-03-04,2024-03-08,"{'bull': 0.4, 'bear': 0.3, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.5, 'high_vol': 0.3}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16400N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 513.0}, {'action': 'SELL', 'contract': 'HSI16300N4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 450.0}, {'meta': {'date': Timestamp('2024-01-15 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16216.330078125, 'expiry': Timestamp('2024-02-28 00:00:00'), 'buy_strike': 16400.0, 'sell_strike': 16300.0, 'quantity': 3, 'max_loss_per_spread': 63.0}}]",0.0,0.0,0.0,0.06708834474034965,0.0,0.0,0.2,35,2024-02-26,2024-03-03,"['https://news.google.com/rss/articles/CBMisANBVV95cUxOYUVodEV4dkhELVo2anRJaWd3WkNTYjJOOXAwT05YaG0wNnlJWDB5dk15WWs0R1BhaUpGcGpWVFIzQXoyMnUwajlxU05ja29XOTdWMlZ4bHJQTW5hb1d5VE95VUdJdTNCSDgwbmRqSWM0WlZlRXFqc2w1NmxMOVJzTTlBUHNVUlV4ODk0TnBzM3lZVEo0NWZUWVo0ZnhUb19RNl9UVTRybk9UX01aR2o0QWVwUWNwcHNZMVRDbi1mSGZIZGRTQnhGU0haVHVnWlF1Qng1RHlmcnltcV9uMHBzSXo1THFYUm5hSGl4em9JTXAxOE1TalpkRmpGMmZSbzdocExsYnFoeFU1U2tidmxFeTBMTW54eDI0LU1TdmUtb1hodjRHZjdDc1g2azZLbElTN2lvV1pzQ2E4NER0TUNNVkFOc0JQMFo5SUhyZHZUQVBZOEdhRDBaaVB0YlVUaUNsbi1Mdy1oUjlLcHhkWXNtd2d2ZFM0LWxWZTVqZ2lieTIyOXNCMDNXNDh1aHNGZW55TzZ5RUxJT1o1XzJoREhXN1VuYnZ4Y3ZoU3V2WTFmTHo?oc=5&hl=en-US&gl=US&ceid=US%3Aen', 'https://inews.hket.com/article/3716221/%E5%85%A9%E6%9C%832024%EF%BD%9C%E6%9D%8E%E6%B0%91%E6%96%8C%E6%8F%90%E6%A1%88%EF%BC%9A%E5%8A%A0%E5%BC%B7%E9%87%91%E8%9E%8D%E5%B8%82%E5%A0%B4%E5%85%A8%E9%9D%A2%E5%81%A5%E5%BA%B7%E7%99%BC%E5%B1%95%E3%80%80%E6%8E%A2%E7%B4%A2%E6%9B%B4%E9%AB%98%E6%B0%B4%E5%B9%B3%E4%BA%92%E8%81%AF%E4%BA%92%E9%80%9A%E3%80%81%E6%94%AF%E6%8C%81%E8%B7%A8%E5%A2%83%E5%9D%87%E8%A1%A1%E9%85%8D%E7%BD%AE', 'https://www.hkej.com/instantnews/market/article/3696489/%E3%80%90EJFQ%E4%BF%A1%E6%9E%90%E3%80%91%E5%B0%88%E5%AE%B6%E7%99%BC%E7%89%9B%E5%B8%82%E8%AD%A6%E5%91%8A+%E8%82%A1%E7%A5%9E%E6%8F%80%E9%81%A0%E9%9B%A2%E8%B3%AD%E5%A0%B4', 'https://finance.technews.tw/2024/03/01/dell-technologies-q4-2024-earnings', 'https://inews.hket.com/article/3715691/%E6%B8%AF%E4%BA%A4%E6%89%80CEO%EF%BD%9C%E9%99%B3%E7%BF%8A%E5%BA%AD%E5%B1%A5%E6%96%B0%E7%82%BA%E8%A1%8C%E6%94%BF%E7%B8%BD%E8%A3%81%E3%80%80%E5%90%91%E5%93%A1%E5%B7%A5%E6%8F%90%E5%8F%8A%E6%B8%AF%E4%BA%A4%E6%89%80%E4%B8%89%E5%A4%A7%E6%A9%9F%E9%81%87']",scenario_reversal_blocked_p_bull=0.400
2024-03-10,2024-03-11,2024-03-15,"{'bull': 0.35, 'bear': 0.35, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.55, 'high_vol': 0.25}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16700P4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 547.0}, {'action': 'SELL', 'contract': 'HSI16600P4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 496.0}, {'meta': {'date': Timestamp('2024-03-11 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16587.5703125, 'expiry': Timestamp('2024-04-29 00:00:00'), 'buy_strike': 16700.0, 'sell_strike': 16600.0, 'quantity': 3, 'max_loss_per_spread': 51.0}}]",-600.0,-0.0006,-0.029796150684488376,0.02389495762708108,-1.24696394735261,-0.0027000000000000357,0.4,35,2024-03-04,2024-03-10,"['https://news.google.com/rss/articles/CBMingJBVV95cUxNV3pPQ19IQzlYZEV6eDE5TTZheERxY2FkZ3ljaENabElNS09YT2dEampPRFI1OUJ0UHBVQ3BFblpZV25TNnFmdnJYOUlVM3B1ekM0QnRYZVVBZEZjakt3Mjd5RW9vMjNmTi16UkFUaF82UEhVdVNrWWNnYzFURHN6djV4Z1RYLXM0dFltRzZiMG1ja1lTWHVjR1FWMUpZdDR6TktENDRuMDRyZXFjVUd3VFJCZExIM3prOVFnU2h1bE53TzczbHdvWkkyUXpRelhYYjR6Z1pBeTdMb3J3dkhROUhTcEg0aFI4LWkwMEdybVl1bjBIQ2hvTnFJeU1fTS1qdUxjSEhWLW5BVDk0a3VaME9wTWV6MXk1VmxQQnhR?oc=5&hl=en-US&gl=US&ceid=US%3Aen', 'https://news.google.com/rss/articles/CBMi-gJBVV95cUxQUVJsWjhac29YcGZoUWRjNGJnZUNCTkJOQU5HTW9oN2pWVXJmaTJXMzBkS3RxY09Ed01penZ2R0F1TDNfNWpjQkcwYXVvYlJCZE5ydHc2T25SY3I1VkFUbDd0ZmV4SGZkQXlnMy1qclRWbEZXYjFJV1Jmd0FNbGhOdE1BMkFjdlZvaEg0YzBKRlNzNEVoZWRRc0FabU1INGZCZWpIWk5wek5FdFNxOXZ6Q2xZRTdhVU9aVFB6SzNSQVdoaG4tMzBfWGdpT2xBVWlQdGRZVlNhaW5XaTRYSkp3bU05R0pPTGpKSVlQamJMaVpDcW9CMndiRzJaWVFveWRzb244aWlST3VMSkV3dXRqRkJWSzA1dXNrSUdici1MQU1zbXN1LWtyNFZjR1g3WGg5Rl9OSEVHTDZVc1BmS1IzNmtFSWs4cy0xSmVlRnZoM0ZiNnpUTXI3UHFNZldMZmcyQ1FXdXNqMm9fdzBoYUd0d21KTEt3eTg3WkE?oc=5&hl=en-US&gl=US&ceid=US%3Aen', 'https://m.hkej.com/featuresmob/article/%E6%B8%AF%E7%89%88%E5%9C%8B%E5%AE%89%E6%B3%95%E6%9C%80%E6%96%B0%E7%99%BC%E5%B1%95/3083192703/%E8%B6%99%E6%A8%82%E9%9A%9B%EF%BC%9A%E8%90%BD%E5%AF%A6%E7%89%B9%E5%8D%80%E8%AD%B7%E5%9C%8B%E5%AE%89%E6%B3%95%E5%88%B6', 'https://www.hkej.com/dailynews/investment/article/3702579', 'https://ec.ltn.com.tw/article/breakingnews/4602177']",dte_le_7
2024-03-17,2024-03-18,2024-03-22,"{'bull': 0.4, 'bear': 0.3, 'range': 0.3}","{'low_vol': 0.2, 'medium_vol': 0.5, 'high_vol': 0.3}",bear_medianvol,put_debit_spread,"[{'action': 'BUY', 'contract': 'HSI16700P4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'buy_leg', 'price_est': 547.0}, {'action': 'SELL', 'contract': 'HSI16600P4', 'quantity': 3, 'strategy': 'bear_medianvol', 'leg': 'sell_leg', 'price_est': 496.0}, {'meta': {'date': Timestamp('2024-03-11 00:00:00'), 'scenario': 'bear_medianvol', 'strategy_type': 'put_debit_spread', 'underlying_price': 16587.5703125, 'expiry': Timestamp('2024-04-29 00:00:00'), 'buy_strike': 16700.0, 'sell_strike': 16600.0, 'quantity': 3, 'max_loss_per_spread': 51.0}}]",900.0,0.0009,0.04638315154502126,0.0198510705001015,2.336556688203999,-0.0011996401079675811,0.4,33,2024-03-11,2024-03-17,"['https://www.hkej.com/dailynews/investment/article/3709050/-30%25E5%25A4%25A9%25E5%2585%258D%25E8%25B2%25BB%25E9%2596%25B1%25E8%25AE%2580-%25E7%25BE%258E%25E5%2585%2583%25E5%258A%25A0%25E6%2581%25AF%25E5%25BC%25B1%25E5%258C%2596-%25E9%2597%259C%25E6%25B3%25A8%25E8%25B6%2585%25E7%25B4%259A%25E5%25A4%25AE%25E8%25A1%258C%25E5%2591%25A8', 'https://ec.ltn.com.tw/article/breakingnews/4608402', 'https://news.google.com/rss/articles/CBMiYEFVX3lxTE5wWnFqV0lBcFMtdmdIV2NUYUVFc1d4SnB4M1MxSXhHb0JOc1ctV2pPYnJmczZZalBRcnMxWklZTFcyaFk5NFMycmtoNWlWcFlSQW85bFJuZEttZTliWDVHX9IBZkFVX3lxTE8tR0k3X1U2V2ZlRzh4MVlEYTQ4Rm9BYmlxMFVkX3FkaDVXTUczb1BsRlN6QkxvdlhxemVRRzVoUXRlT1kzU3ZFWnpsZlREb0JRWXVza25kcVh4WHg5UUlwV1RKNHBUQQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen', 'https://m.hkej.com/landing/mobarticle2/id/3707263/%E5%A4%AA%E5%8F%A4%E5%A4%9A%E8%B3%BA5.9%E5%80%8D%20%E6%B4%BE%E6%81%AF%E5%A2%9E8-', 'https://www.hkej.com/wm/article/id/3706653/%E5%B8%82%E5%AF%AC%E6%94%B9%E5%96%84%E6%9C%89%E5%88%A9%E7%BE%8E%E8%82%A1%E5%BE%8C%E5%B8%82']",scenario_reversal_blocked_p_bull=0.400
